t_sec,rebirth_req,out_of_seq,nbirth_wire,dbirth_wire,ndata_wire,ddata_wire,ncmd_wire,valores_rows,write_errors
0,9,9,0,0,0,0,0,420,1
30,9,9,0,0,6,60,0,486,1
60,11,11,2,4,12,120,2,560,1
90,11,11,2,4,18,180,2,626,1
121,11,11,2,4,24,240,2,692,1
151,11,11,2,4,30,300,2,758,1
181,13,13,4,8,36,362,4,833,1
211,13,13,4,8,42,422,4,899,1
241,15,15,6,12,48,482,6,970,1
271,15,15,6,12,54,542,6,1036,1
302,15,15,6,12,60,602,6,1102,1
332,17,17,8,16,66,662,8,1179,1
362,17,17,8,16,73,724,8,1245,1
392,17,17,8,16,79,784,8,1311,1
422,17,17,8,16,85,844,8,1377,1
452,20,20,11,22,91,904,11,1455,1
483,20,20,11,22,97,964,11,1521,1
513,20,20,11,22,103,1026,11,1589,1
543,24,24,15,30,109,1086,15,1670,1
573,24,24,15,30,115,1146,15,1736,1
