t_sec,rebirth_req,out_of_seq,nbirth_wire,dbirth_wire,ndata_wire,ddata_wire,ncmd_wire,valores_rows,write_errors
0,0,0,0,0,0,0,0,97,0
30,0,0,0,0,6,90,0,195,0
61,0,0,0,0,12,182,0,291,0
91,0,0,0,0,18,272,0,387,0
121,0,0,0,0,24,362,0,483,0
151,0,0,0,0,30,452,0,579,0
181,0,0,0,0,36,542,0,675,0
211,0,0,0,0,42,632,0,773,0
242,0,0,0,0,48,724,0,869,0
272,0,0,0,0,54,816,0,965,0
302,0,0,0,0,60,906,0,1063,0
332,0,0,0,0,66,996,0,1159,0
362,0,0,0,0,72,1086,0,1255,0
392,0,0,0,0,78,1176,0,1354,0
423,0,0,0,0,85,1268,0,1450,0
453,0,0,0,0,91,1358,0,1546,0
483,0,0,0,0,97,1448,0,1642,0
513,0,0,0,0,103,1538,0,1738,0
543,0,0,0,0,109,1628,0,1834,0
573,0,0,0,0,115,1718,0,1932,0
