t_sec,rebirth_req,out_of_seq,ncmd_suppressed,nbirth_wire,dbirth_wire,ndata_wire,ddata_wire,ncmd_wire,valores_rows,chunks,hypertable_bytes,write_errors
0,4,4,4,0,0,0,0,0,749,1,237568,0
31,4,4,4,0,0,6,90,0,845,1,253952,0
61,4,4,4,0,0,13,182,0,944,1,262144,0
92,4,4,4,0,0,19,274,0,1042,1,286720,0
122,4,4,4,0,0,25,366,0,1140,1,311296,0
153,4,4,4,0,0,31,456,0,1236,1,319488,0
183,4,4,4,0,0,37,548,0,1334,1,335872,0
213,4,4,4,0,0,43,638,0,1430,1,352256,0
244,4,4,4,0,0,49,730,0,1528,1,368640,0
274,4,4,4,0,0,55,822,0,1626,1,401408,0
305,4,4,4,0,0,61,912,0,1722,1,401408,0
335,4,4,4,0,0,67,1004,0,1820,1,417792,0
366,4,4,4,0,0,73,1096,0,1918,1,450560,0
396,4,4,4,0,0,80,1188,0,2017,1,483328,0
427,4,4,4,0,0,86,1278,0,2113,1,507904,0
457,4,4,4,0,0,92,1370,0,2211,1,516096,0
488,4,4,4,0,0,98,1460,0,2307,1,540672,0
518,4,4,4,0,0,104,1554,0,2407,1,557056,0
549,4,4,4,0,0,110,1644,0,2503,1,573440,0
579,4,4,4,0,0,116,1736,0,2601,1,589824,0
610,4,4,4,0,0,122,1826,0,2697,1,598016,0
640,4,4,4,0,0,128,1920,0,2797,1,630784,0
671,4,4,4,0,0,134,2010,0,2893,1,630784,0
701,4,4,4,0,0,140,2100,0,2992,1,663552,0
731,4,4,4,0,0,147,2192,0,3088,1,671744,0
762,4,4,4,0,0,153,2286,0,3188,1,688128,0
792,4,4,4,0,0,159,2376,0,3284,1,688128,0
823,4,4,4,0,0,165,2468,0,3382,1,704512,0
853,4,4,4,0,0,171,2558,0,3478,1,720896,0
884,4,4,4,0,0,177,2648,0,3574,1,729088,0
914,4,4,4,0,0,183,2742,0,3674,1,753664,0
945,4,4,4,0,0,189,2832,0,3770,1,778240,0
975,4,4,4,0,0,195,2924,0,3868,1,802816,0
1006,4,4,4,0,0,201,3014,0,3964,1,827392,0
1036,4,4,4,0,0,208,3108,0,4065,1,827392,0
1067,4,4,4,0,0,214,3198,0,4161,1,843776,0
1097,4,4,4,0,0,220,3290,0,4259,1,851968,0
1128,4,4,4,0,0,226,3380,0,4355,1,901120,0
1158,4,4,4,0,0,232,3470,0,4451,1,901120,0
1188,4,4,4,0,0,238,3564,0,4551,1,925696,0
1219,4,4,4,0,0,244,3654,0,4647,1,925696,0
1249,4,4,4,0,0,250,3746,0,4745,1,950272,0
1280,4,4,4,0,0,256,3836,0,4841,1,966656,0
1310,4,4,4,0,0,262,3930,0,4941,1,974848,0
1341,4,4,4,0,0,268,4020,0,5037,1,1007616,0
1371,4,4,4,0,0,275,4112,0,5136,1,1007616,0
1402,4,4,4,0,0,281,4202,0,5232,1,1015808,0
1432,4,4,4,0,0,287,4296,0,5332,1,1048576,0
1463,4,4,4,0,0,293,4386,0,5428,1,1064960,0
1493,4,4,4,0,0,299,4478,0,5526,1,1073152,0
1524,4,4,4,0,0,305,4568,0,5622,1,1097728,0
1554,4,4,4,0,0,311,4660,0,5720,1,1122304,0
1585,4,4,4,0,0,317,4752,0,5818,1,1138688,0
1615,4,4,4,0,0,323,4844,0,5916,1,1171456,0
1645,4,4,4,0,0,329,4934,0,6012,1,1171456,0
1676,4,4,4,0,0,335,5024,0,6108,1,1187840,0
1706,4,4,4,0,0,342,5118,0,6209,1,1212416,0
1737,4,4,4,0,0,348,5208,0,6305,1,1236992,0
1767,4,4,4,0,0,354,5300,0,6403,1,1245184,0
1798,4,4,4,0,0,360,5390,0,6501,1,1253376,0
