sample,elapsed_s,valores,delta,plantas_visible,p2_visible,p2_estado,p2_baja,modbus_status,pending_count
1,0,985,985,2,1,1,0,approved,2
2,30,1135,150,2,1,1,0,approved,2
3,61,1290,155,2,1,1,0,approved,2
4,91,1440,150,2,1,1,0,approved,2
5,122,1595,155,2,1,1,0,approved,2
6,153,1745,150,2,1,1,0,approved,2
7,183,1900,155,2,1,1,0,approved,2
8,214,2050,150,1,0,0,1,approved,2
9,244,2050,0,1,0,0,1,approved,2
10,275,2050,0,1,0,0,1,approved,2
11,305,2050,0,1,0,0,1,approved,2
12,336,2050,0,1,0,0,1,approved,2
13,366,2050,0,1,0,0,1,approved,2
14,397,2050,0,1,0,0,1,approved,2
15,427,2050,0,1,0,0,1,approved,2
16,458,2050,0,1,0,0,1,approved,2
17,488,2050,0,1,0,0,1,approved,2
18,519,2050,0,1,0,0,1,approved,2
19,549,2050,0,1,0,0,1,approved,2
20,580,2050,0,1,0,0,1,approved,2
